Date,Close,High,Low,Open,Volume,Return,Volatility_10,Volatility_30,RSI,MACD,MACD_Signal
10/8/2021,155.7316437,156.1753801,155.0162321,155.2245242,153400,0.014751841,0.022845993,0.016741442,46.51541608,-1.209459742,0.022705071
10/11/2021,158.6113586,160.1508463,158.3577989,158.8196507,209100,0.018491521,0.02246339,0.016902211,43.71654612,-1.074576839,-0.196751311
10/12/2021,160.4044189,160.8028739,159.1003894,160.1689607,250700,0.011304741,0.022965575,0.016960631,46.92102748,-0.813617311,-0.320124511
10/13/2021,159.1728363,159.8248511,158.167648,159.3358331,325600,-0.007677984,0.022131377,0.016990774,43.68115082,-0.698135757,-0.39572676
10/14/2021,158.9373779,159.0098255,158.0046373,158.1133156,157800,-0.001479262,0.018062712,0.016877222,43.63372892,-0.618485797,-0.440278568
10/15/2021,159.6256104,159.7886071,158.2853502,158.9373649,203800,0.004330211,0.018145513,0.016892466,38.71317592,-0.494131979,-0.45104925
10/18/2021,161.6903381,162.0978439,160.9930419,161.1922694,207300,0.012934815,0.014561364,0.016765012,44.2686488,-0.226365012,-0.406112402
10/19/2021,161.7989807,161.9619913,161.2737459,161.9257606,197800,0.000671918,0.014586049,0.016589307,40.05280411,-0.005329774,-0.325955877
10/20/2021,160.9658508,161.7989776,160.3047854,161.7989776,161000,-0.005149166,0.009350521,0.016531799,50,0.101446217,-0.240475458
10/21/2021,157.5880737,158.656645,157.3888462,157.5699584,218700,-0.020984433,0.012146831,0.016973321,44.17477396,-0.085505767,-0.20948152
10/22/2021,157.0266113,158.7834281,156.4651596,158.475536,206700,-0.003562848,0.011494223,0.016547206,53.09215312,-0.275792718,-0.222743759
10/25/2021,155.9670868,156.4923216,155.650144,156.4923216,247100,-0.00674742,0.009853185,0.016423699,50.16948206,-0.506255474,-0.279446102
10/26/2021,156.8455048,158.2853649,156.4923312,157.234909,145400,0.005632073,0.009164619,0.016429076,63.93737141,-0.610974942,-0.34575187
10/27/2021,157.6514587,158.7381454,157.5790111,158.3034735,205500,0.005138521,0.009209981,0.016267575,61.13787624,-0.621764806,-0.400954457
10/28/2021,159.8157806,159.8157806,158.7381448,158.7381448,181400,0.013728524,0.010298867,0.01648297,60.93066981,-0.450480305,-0.410859627
10/29/2021,159.8973083,160.0059729,159.0370015,159.5622364,164800,0.000510136,0.010215611,0.016457274,54.04798638,-0.304645733,-0.389616848
11/1/2021,162.9853058,162.9853058,161.3100011,161.3100011,219100,0.019312379,0.011244994,0.01623473,57.51185573,0.059419846,-0.299809509
11/2/2021,162.6502228,163.0033963,160.956803,163.0033963,166500,-0.002055909,0.011282949,0.015338211,60.67845342,0.317248994,-0.176397809
11/3/2021,163.9723663,164.2349768,162.269882,162.9128321,163000,0.008128753,0.011314772,0.015403843,64.49422863,0.621106656,-0.016896916
11/4/2021,164.3436584,165.5752403,163.5467623,164.8145611,171300,0.002264358,0.007987055,0.01536385,63.83429379,0.88171238,0.162824943
11/5/2021,162.3513947,164.0719807,161.6450477,163.8274855,176500,-0.012122547,0.009271048,0.015528077,51.94662693,0.916915624,0.31364308
11/8/2021,163.4380798,163.5105275,162.2336641,162.5687361,204300,0.006693415,0.008589072,0.015038512,54.56380835,1.020734469,0.455061358
11/9/2021,159.6708832,161.6450287,159.0550854,161.4186351,222500,-0.023049687,0.01225733,0.015520803,46.90075265,0.789924607,0.522034007
11/10/2021,160.6127014,162.3604537,160.0331343,160.6941998,203000,0.005898497,0.012282282,0.015291552,58.19429654,0.675219478,0.552671102
11/11/2021,162.125,162.3966751,161.3643207,161.6178805,122500,0.009415809,0.011891496,0.013389424,63.13575914,0.698295183,0.581795918
11/12/2021,166.9879456,167.3049022,164.3617848,164.7240091,291100,0.029995038,0.014894998,0.014439713,73.7416729,1.096343939,0.684705522
11/15/2021,166.9788818,167.9478532,166.9336003,167.5493982,177100,-5.43E-05,0.013978409,0.012936096,72.67929456,1.39498852,0.826762122
11/16/2021,169.7318115,170.4109924,169.2518582,169.3424211,228700,0.016486694,0.014524428,0.013186883,74.86941717,1.832678939,1.027945485
11/17/2021,168.6270294,168.9258568,167.2867692,168.4368527,204200,-0.006508987,0.014837266,0.011784278,68.96684692,2.066582787,1.235672946
11/18/2021,167.2143097,168.5726713,166.498912,168.5726713,271700,-0.008377777,0.015263602,0.0117858,64.89664886,2.113594396,1.411257236
11/19/2021,168.4006348,168.7085268,167.7667216,167.8572846,197400,0.007094638,0.014501409,0.011602454,61.95038673,2.220975925,1.573200973
11/22/2021,167.6127625,168.8352934,167.1328091,168.545503,264200,-0.004678559,0.014690416,0.01128002,60.73662366,2.216946273,1.701950033
11/23/2021,167.5856323,168.056535,166.7887223,167.6127985,182700,-0.000161862,0.011731239,0.011143912,58.28148639,2.186360566,1.79883214
11/24/2021,167.3592072,167.639933,166.1819576,167.4407055,255500,-0.001351101,0.011886405,0.011023035,56.95774172,2.119419209,1.862949554
11/26/2021,162.8494568,164.0448079,161.9076516,163.6735329,171400,-0.026946533,0.015206864,0.012196982,51.02956697,1.683067186,1.82697308
11/29/2021,160.7122955,162.1249894,160.3047898,161.8352128,222000,-0.013123539,0.011620142,0.012440706,44.59993047,1.151529891,1.691884442
11/30/2021,161.0564117,161.4910836,159.0822524,161.2194085,331300,0.002141194,0.011718306,0.012216797,53.17558352,0.749411311,1.503389816
12/1/2021,161.4548645,165.5208988,161.4186476,163.7278652,246700,0.002473995,0.009725453,0.012224942,51.97951337,0.457606247,1.294233102
12/2/2021,165.8650208,166.2815773,162.4781673,162.6955102,238100,0.027315103,0.014043756,0.013154797,57.73696112,0.575576495,1.150501781
12/3/2021,165.2311096,166.9879123,164.3164706,166.3358977,194000,-0.003821849,0.013870893,0.012519865,45.59487007,0.610875643,1.042576553
12/6/2021,167.1599884,167.540328,165.1677273,165.9465219,189600,0.011673823,0.014242309,0.012609601,50.41423034,0.785440796,0.991149402
12/7/2021,169.7408905,170.157447,168.346298,168.9077636,245100,0.015439712,0.015009931,0.012719123,50.02093032,1.119141403,1.016747802
12/8/2021,165.2492218,166.1729116,164.6424886,166.1276301,265500,-0.026461913,0.017417936,0.013786579,43.26471723,1.009524245,1.015303091
12/9/2021,163.7007141,164.1082199,163.0034178,163.9089924,186600,-0.009370741,0.017605892,0.013920475,43.03169324,0.788609627,0.969964398
12/10/2021,165.1315002,165.1315002,163.5376804,164.8507606,125500,0.008740256,0.015492774,0.013796755,43.5787818,0.720678155,0.920107149
12/13/2021,159.4897461,160.7575584,159.0822404,160.4406019,583700,-0.034165221,0.01877985,0.015232845,36.59992851,0.209188173,0.777923354
12/14/2021,163.7097473,165.1858381,162.2970534,163.9089748,440500,0.026459389,0.02065558,0.015596401,44.38317779,0.142702522,0.650879188
12/15/2021,169.1160126,169.3424062,166.9607412,167.9930954,479100,0.033023478,0.022898993,0.016692812,52.21358753,0.520255409,0.624754432
12/16/2021,169.6503296,171.1083051,169.4692174,170.130283,384300,0.00315947,0.02150118,0.016648696,59.52319701,0.852753695,0.670354285
12/17/2021,166.661911,168.2013986,166.5351311,168.0655541,382600,-0.017615165,0.022374197,0.01699965,58.13719753,0.865147695,0.709312967
12/20/2021,164.7692719,164.9866147,163.1030181,164.4160984,251500,-0.011356159,0.022348791,0.016980426,54.87166838,0.714019098,0.710254193
12/21/2021,165.5571289,166.3811912,164.8960496,165.5390135,180100,0.004781578,0.021711345,0.01696047,55.32816093,0.650325529,0.69826846
12/22/2021,164.2349854,164.4070467,163.0577358,163.0577358,165900,-0.007986026,0.020155284,0.016452508,47.69821358,0.487541901,0.656123148
12/23/2021,166.4264526,166.9064059,165.6386074,165.7925534,167800,0.013343486,0.020315375,0.01658347,51.61683133,0.529266741,0.630751867
12/27/2021,168.346283,168.6904057,166.6347478,166.6347478,196900,0.011535608,0.020439744,0.016623627,51.60498517,0.709074471,0.646416388
12/28/2021,167.3048706,168.7718967,167.2052569,168.3553402,113600,-0.006186132,0.016446037,0.015767141,46.5609521,0.758793222,0.668891755
12/29/2021,166.335907,167.1690476,165.5842924,166.8611418,117800,-0.005791604,0.014835276,0.015804873,51.70356932,0.7118032,0.677474044
12/30/2021,166.6981659,167.2867838,166.3631077,166.8702273,123200,0.002177876,0.010022904,0.015502958,54.88055327,0.695774086,0.681134052
12/31/2021,167.802948,168.572678,166.9335904,167.0332042,189900,0.00662744,0.010255254,0.015512453,54.39641569,0.763417379,0.697590718
